rank,client_hash_id,content_hash_id,model_score,action,reason_code,confidence,impressions,clicks,avg_position,ctr
84,client_a80fca3f171ed1de,content_039ef164160d2080,0.8068603711607966,refresh_priority,weak_position|low_ctr,high,2675.0,3.0,11.77604792767979,0.0011214953271028
85,client_73cda7b4e4f265ea,content_cb7e66701ae4c64c,0.8067602360632535,refresh_priority,weak_position|low_ctr,high,566.0,1.0,22.74058616968432,0.0017667844522968
86,client_9958f0a7ae1df715,content_624148ed744fdc3c,0.8066679768633261,refresh_priority,low_ctr,high,4040.0,0.0,9.67484540383869,0.0
87,client_810019792c9b8efc,content_ebea6d85b80a8376,0.8066204312191861,refresh_priority,weak_position|low_ctr,high,499.0,1.0,26.422756438295657,0.002004008016032
88,client_a80fca3f171ed1de,content_2fc1a54006e70814,0.8066000518416628,refresh_priority,low_ctr,high,472.0,1.0,8.83802255793742,0.0021186440677966
89,client_73cda7b4e4f265ea,content_ccffb87e03d8f9e4,0.8065823743577838,refresh_priority,weak_position|low_ctr,high,731.0,1.0,27.249149939596577,0.0013679890560875
90,client_23a62021009f63c4,content_1147d50b4a76a128,0.8065749965062445,refresh_priority,weak_position|low_ctr,high,789.0,1.0,17.311211982792443,0.0012674271229404
91,client_fef1a8f436438636,content_6bd00b478937018e,0.8061294028181248,refresh_priority,weak_position|low_ctr,high,640.0,1.0,13.767985391943974,0.0015625
92,client_9958f0a7ae1df715,content_c54c74753e9284e0,0.8057094416055236,refresh_priority,weak_position|low_ctr,high,317.0,0.0,23.648064935064937,0.0
93,client_73cda7b4e4f265ea,content_8c419ce33b63e14f,0.8053917444508923,refresh_priority,low_ctr,high,2544.0,2.0,9.4104491354942,0.0007861635220125
94,client_23a62021009f63c4,content_63a96248b5af968a,0.8053804554599728,refresh_priority,weak_position|low_ctr,high,459.0,1.0,20.84677961185701,0.0021786492374727
95,client_fef1a8f436438636,content_c5dc108cc7ed608e,0.8052737981640165,refresh_priority,weak_position|low_ctr,high,1148.0,1.0,32.97216778649179,0.0008710801393728
96,client_a2eeb8899886adde,content_d0b52c6af158d643,0.805209032373496,refresh_priority,low_ctr,high,2152.0,3.0,6.5795950103949705,0.0013940520446096
97,client_3f0ce4d44fe94f3d,content_d0df9e955cbe6305,0.8050493874923098,refresh_priority,weak_position|low_ctr,high,2605.0,1.0,12.911120892676571,0.000383877159309
98,client_73cda7b4e4f265ea,content_2e156d3447390209,0.8050260054782828,refresh_priority,weak_position|low_ctr,high,1288.0,1.0,15.070151906273916,0.0007763975155279
99,client_810019792c9b8efc,content_02764b79f257fdbf,0.8050072869671328,refresh_priority,weak_position|low_ctr,high,945.0,2.0,15.770887721974873,0.0021164021164021
100,client_9958f0a7ae1df715,content_2f38656ac350b91c,0.8046600826866024,refresh_priority,low_ctr,high,658.0,0.0,6.85432754382622,0.0
101,client_9958f0a7ae1df715,content_c4002ce386c98905,0.8045430842964271,refresh_priority,low_ctr,high,1930.0,0.0,9.71451269096834,0.0
102,client_73cda7b4e4f265ea,content_13955edb5c45c42f,0.804211668476327,refresh_priority,weak_position|low_ctr,high,2367.0,4.0,10.781065347098718,0.0016899028305872
103,client_23a62021009f63c4,content_5f0ce76fd389c33b,0.8041828801837466,refresh_priority,weak_position|low_ctr,high,2286.0,1.0,17.21693456763422,0.000437445319335
104,client_73cda7b4e4f265ea,content_5ce1e95f94dfb1bb,0.8041640293586464,refresh_priority,weak_position|low_ctr,high,2350.0,1.0,11.402819901303516,0.0004255319148936
105,client_b10cb2997d0c7c86,content_bc8403848ecc739a,0.8041132546717364,refresh_priority,weak_position|low_ctr,high,283.0,0.0,16.17037795537796,0.0
106,client_73cda7b4e4f265ea,content_a08baf614f67c886,0.8040628589957166,refresh_priority,weak_position|low_ctr,high,4275.0,2.0,10.871627330163328,0.0004678362573099
107,client_fef1a8f436438636,content_9bd8999349449dbc,0.8040050635007865,refresh_priority,weak_position|low_ctr,high,1563.0,1.0,22.33320504665813,0.000639795265515
108,client_73cda7b4e4f265ea,content_71517013741c56fd,0.8039883327196301,refresh_priority,weak_position|low_ctr,high,1026.0,2.0,21.290677619701032,0.0019493177387914
109,client_a22068e339bf95f5,content_6be4d38e4fa14493,0.803678805739178,refresh_priority,weak_position|low_ctr,high,1260.0,1.0,15.314719600057463,0.0007936507936507
110,client_23a62021009f63c4,content_1b86d6e570c74c6d,0.8034949141545854,refresh_priority,low_ctr,high,1506.0,3.0,8.437576151693005,0.0019920318725099
111,client_fef1a8f436438636,content_76faee9bdb238c15,0.8032653910613787,refresh_priority,weak_position|low_ctr,high,1272.0,1.0,24.22540239384942,0.0007861635220125
112,client_23a62021009f63c4,content_432a018962e89544,0.8031694658994629,refresh_priority,weak_position|low_ctr,high,1299.0,3.0,29.05228954490557,0.0023094688221709
113,client_23a62021009f63c4,content_eabce5020fd0d2b3,0.8029254993162342,refresh_priority,weak_position|low_ctr,high,2053.0,3.0,19.897881899716403,0.0014612761811982
114,client_810019792c9b8efc,content_6b820b08cd9dfffd,0.8028707264931331,refresh_priority,weak_position|low_ctr,high,850.0,2.0,19.847375320091032,0.0023529411764705
115,client_810019792c9b8efc,content_0edb97990af523a9,0.802770584442995,refresh_priority,weak_position|low_ctr,high,5390.0,3.0,23.884228638514838,0.0005565862708719
116,client_73cda7b4e4f265ea,content_c80088501d4e5ccb,0.8025140873952692,refresh_priority,low_ctr,high,1200.0,2.0,5.777171681307588,0.0016666666666666
117,client_73cda7b4e4f265ea,content_4e6c3f505541ee58,0.8024869568050622,refresh_priority,weak_position|low_ctr,high,846.0,2.0,28.55477209403234,0.0023640661938534
